code,report_date,publish_date
600048,2015-03-31,2015-04-30
600048,2015-06-30,2015-08-25
600048,2015-09-30,2015-10-30
600048,2015-12-31,2016-04-15
600048,2016-03-31,2016-04-28
600048,2016-06-30,2016-08-30
600048,2016-09-30,2016-10-29
600048,2016-12-31,2017-04-18
600048,2017-03-31,2017-04-29
600048,2017-06-30,2017-08-30
600048,2017-09-30,2017-10-27
600048,2017-12-31,2018-04-17
600048,2018-03-31,2018-04-27
600048,2018-06-30,2018-08-14
600048,2018-09-30,2018-10-30
600048,2018-12-31,2019-04-16
600048,2019-03-31,2019-04-27
600048,2019-06-30,2019-08-13
600048,2019-09-30,2019-10-26
600048,2019-12-31,2020-04-16
600048,2020-03-31,2020-04-30
600048,2020-06-30,2020-08-25
600048,2020-09-30,2020-10-30
600048,2020-12-31,2021-04-20
600048,2021-03-31,2021-04-30
600048,2021-06-30,2021-08-24
600048,2021-09-30,2021-10-29
600048,2021-12-31,2022-04-19
600048,2022-03-31,2022-04-30
600048,2022-06-30,2022-08-30
600048,2022-09-30,2022-10-29
600048,2022-12-31,2023-03-31
600048,2023-03-31,2023-04-22
600048,2023-06-30,2023-08-31
600048,2023-09-30,2023-10-28
600048,2023-12-31,2024-04-23
600048,2024-03-31,2024-04-30
600048,2024-06-30,2024-08-20
600048,2024-09-30,2024-10-29
600048,2024-12-31,2025-04-29
600048,2025-03-31,2025-04-29
600048,2025-06-30,2025-08-26
600048,2025-09-30,2025-10-22
600048,2025-12-31,2026-04-18
600048,2026-03-31,2026-04-28
600048,2026-06-30,2026-08-27
600276,2015-03-31,2015-04-18
600276,2015-06-30,2015-08-25
600276,2015-09-30,2015-10-28
600276,2015-12-31,2016-04-13
600276,2016-03-31,2016-04-26
600276,2016-06-30,2016-08-30
600276,2016-09-30,2016-10-29
600276,2016-12-31,2017-03-11
600276,2017-03-31,2017-04-21
600276,2017-06-30,2017-08-30
600276,2017-09-30,2017-10-19
600276,2017-12-31,2018-04-16
